team,map_name,pistol_round_win_rate,n_pistol_rounds,ct_win_rate,n_ct_rounds,t_win_rate,n_t_rounds
AM,Ancient,0.5714285714285714,14,0.43548387096774194,62,0.6341463414634146,82
AM,Dust2,0.3333333333333333,6,0.52,25,0.5588235294117647,34
AM,Inferno,0.6666666666666666,6,0.3888888888888889,36,0.32,25
AM,Mirage,0.4,10,0.6166666666666667,60,0.46938775510204084,49
AM,Nuke,0.5,6,0.6666666666666666,36,0.2571428571428571,35
AM,Overpass,0.5,2,0.25,8,0.4166666666666667,12
AMKAL,Ancient,0.42063492063492064,126,0.4444444444444444,630,0.5028901734104047,692
AMKAL,Anubis,0.3695652173913043,46,0.37850467289719625,214,0.4981132075471698,265
AMKAL,Dust2,0.4846153846153846,130,0.5044642857142857,672,0.5363128491620112,716
AMKAL,Inferno,0.6060606060606061,66,0.5,296,0.5526315789473685,380
AMKAL,Mirage,0.5303030303030303,66,0.5481283422459893,374,0.4804804804804805,333
AMKAL,Nuke,0.4090909090909091,22,0.5,110,0.4827586206896552,116
AMKAL,Overpass,0.4444444444444444,18,0.6203703703703703,108,0.3764705882352941,85
AMKAL,Train,0.5,26,0.5705128205128205,156,0.5267857142857143,112
AMKAL,Vertigo,0.4444444444444444,18,0.49473684210526314,95,0.51,100
ANTARCTICA,Anubis,0.5,2,0.3333333333333333,12,0.5,10
ANTARCTICA,Inferno,0.5,2,0.08333333333333333,12,0.3333333333333333,3
ARAVT,Ancient,0.0,2,0.5833333333333334,12,0.4166666666666667,12
ARAVT,Anubis,0.0,2,0.25,12,0.2,5
ARAVT,Mirage,0.5,2,0.2727272727272727,11,0.5833333333333334,12
ARCRED,Ancient,0.5,70,0.40458015267175573,393,0.5189504373177842,343
ARCRED,Anubis,0.5294117647058824,34,0.5300546448087432,183,0.5,178
ARCRED,Dust2,0.5833333333333334,24,0.4166666666666667,132,0.5862068965517241,116
ARCRED,Inferno,0.5535714285714286,56,0.453125,320,0.5,274
ARCRED,Mirage,0.4861111111111111,72,0.5558510638297872,376,0.5139949109414759,393
ARCRED,Nuke,0.4375,32,0.47674418604651164,172,0.40853658536585363,164
ARCRED,Overpass,0.375,8,0.42857142857142855,42,0.42857142857142855,42
ARCRED,Train,0.44285714285714284,70,0.5970149253731343,335,0.4534313725490196,408
ARCRED,Vertigo,0.0,2,0.75,12,0.25,12
ASPYRE,Ancient,0.5,12,0.45614035087719296,57,0.4857142857142857,70
ASPYRE,Dust2,0.625,8,0.5,48,0.5135135135135135,37
ASPYRE,Inferno,0.6,20,0.5492957746478874,71,0.48333333333333334,120
ASPYRE,Mirage,0.75,8,0.6875,48,0.6333333333333333,30
ASPYRE,Overpass,0.5,2,0.4166666666666667,12,0.14285714285714285,7
ASPYRE,Train,0.375,8,0.38461538461538464,39,0.38095238095238093,42
ASTRAL,Ancient,0.5,2,0.8333333333333334,12,0.25,12
ASTRAL,Dust2,0.25,4,0.375,24,0.5,22
ASTRAL,Mirage,0.5,2,0.5833333333333334,12,0.2,10
ASTRAL,Nuke,0.0,2,0.8333333333333334,12,0.42857142857142855,7
ASTRAL,Train,0.5,2,0.75,12,0.8,5
ATOMIK,Dust2,0.0,2,0.0,2,0.08333333333333333,12
ATOX,Ancient,0.5185185185185185,54,0.5055350553505535,271,0.5555555555555556,288
